iter	Passed	Remaining
402	11473	16997
403	11500	16966
404	11532	16943
405	11557	16909
406	11581	16874
407	11610	16846
408	11632	16808
409	11667	16789
410	11689	16751
411	11707	16708
412	11728	16669
413	11752	16635
414	11801	16635
415	11880	16678
416	11925	16672
417	11971	16669
418	12026	16676
419	12051	16642
420	12069	16598
421	12099	16572
422	12141	16561
423	12161	16521
424	12209	16518
425	12245	16499
426	12301	16507
427	12329	16477
428	12346	16432
429	12361	16386
430	12381	16346
431	12399	16303
432	12423	16268
433	12447	16232
434	12487	16219
435	12508	16181
436	12529	16142
437	12549	16102
438	12568	16061
439	12590	16023
440	12606	15980
441	12630	15945
442	12653	15909
443	12670	15866
444	12694	15832
445	12719	15799
446	12742	15764
447	12760	15723
448	12780	15684
449	12800	15645
450	12819	15604
451	12838	15565
452	12856	15524
453	12880	15490
454	12901	15452
455	12921	15415
456	12940	15375
457	12968	15347
458	12991	15312
459	13012	15275
460	13039	15245
461	13059	15208
462	13079	15169
463	13098	15130
464	13125	15101
465	13157	15077
466	13175	15037
467	13193	14998
468	13212	14958
469	13231	14920
470	13251	14883
471	13278	14854
472	13308	14827
473	13331	14793
474	13346	14751
475	13371	14720
476	13389	14681
477	13408	14643
478	13423	14600
479	13441	14562
480	13460	14524
481	13482	14489
482	13509	14460
483	13532	14427
484	13560	14398
485	13588	14371
486	13610	14336
487	13633	14303
488	13659	14274
489	13681	14239
490	13705	14207
491	13736	14183
492	13754	14144
493	13776	14111
494	13800	14079
495	13820	14042
496	13840	14007
497	13866	13977
498	13895	13950
499	13923	13923
500	13945	13890
501	13966	13855
502	13998	13831
503	14019	13796
504	14040	13762
505	14058	13725
506	14077	13689
507	14094	13650
508	14114	13615
509	14144	13589
510	14161	13551
511	14185	13521
512	14210	13490
513	14233	13457
514	14251	13421
515	14284	13398
516	14314	13372
517	14339	13342
518	14364	13312
519	14395	13288
520	14419	13257
521	14436	13219
522	14459	13188
523	14484	13157
524	14511	13129
525	14535	13098
526	14559	13067
527	14583	13037
528	14613	13011
529	14642	12984
530	14666	12953
531	14688	12921
532	14707	12886
533	14744	12867
534	14777	12843
535	14803	12815
536	14825	12782
537	14849	12751
538	14872	12720
539	14895	12688
540	14922	12660
541	14951	12634
542	14981	12609
543	15018	12588
544	15039	12555
545	15061	12523
546	15087	12494
547	15113	12466
548	15133	12431
549	15159	12403
550	15184	12373
551	15209	12343
552	15236	12316
553	15259	12284
554	15288	12258
555	15314	12229
556	15337	12198
557	15362	12168
558	15384	12136
559	15407	12105
560	15436	12079
561	15465	12053
562	15490	12023
563	15514	11993
564	15532	11958
565	15549	11923
566	15564	11886
567	15586	11854
568	15603	11819
569	15623	11786
570	15646	11755
571	15666	11722
572	15685	11689
573	15705	11656
574	15728	11625
575	15746	11591
576	15771	11562
577	15804	11539
578	15837	11515
579	15865	11488
580	15904	11469
581	15943	11450
582	15969	11422
583	15989	11389
584	16010	11358
585	16028	11323
586	16048	11291
587	16066	11257
588	16087	11225
589	16110	11195
590	16132	11164
591	16153	11133
592	16171	11098
593	16189	11065
594	16211	11034
595	16231	11002
596	16251	10970
597	16272	10939
598	16301	10912
599	16323	10882
600	16352	10855
601	16377	10827
602	16406	10801
603	16436	10776
604	16457	10745
605	16477	10713
606	16498	10681
607	16527	10655
608	16547	10623
609	16567	10592
610	16589	10562
611	16615	10533
612	16637	10503
613	16668	10478
614	16692	10450
615	16724	10425
616	16761	10404
617	16786	10376
618	16841	10365
619	16871	10340
620	16955	10347
621	17008	10336
622	17027	10303
623	17051	10274
624	17071	10242
625	17095	10213
626	17117	10183
627	17140	10153
628	17161	10122
629	17179	10089
630	17199	10058
631	17222	10028
632	17245	9998
633	17262	9965
634	17284	9935
635	17306	9905
636	17322	9871
637	17347	9842
638	17371	9813
639	17395	9784
640	17414	9753
641	17436	9723
642	17449	9688
643	17467	9655
644	17501	9632
645	17525	9603
646	17557	9579
647	17588	9554
648	17619	9529
649	17642	9499
650	17663	9469
651	17682	9437
652	17705	9408
653	17729	9379
654	17795	9373
655	17843	9357
656	17888	9339
657	17921	9314
658	17981	9304
659	18012	9279
660	18048	9256
661	18077	9230
662	18107	9204
663	18133	9175
664	18152	9144
665	18169	9111
666	18188	9080
667	18218	9054
668	18251	9030
669	18287	9007
670	18321	8983
671	18345	8954
672	18394	8937
673	18415	8907
674	18441	8879
675	18464	8849
676	18487	8820
677	18515	8793
678	18537	8763
679	18555	8731
680	18568	8698
681	18590	8668
682	18611	8638
683	18632	8607
684	18648	8575
685	18664	8543
686	18683	8512
687	18703	8481
688	18729	8453
689	18749	8423
690	18772	8394
691	18792	8364
692	18821	8337
693	18845	8309
694	18865	8279
695	18885	8248
696	18911	8221
697	18947	8197
698	18976	8171
699	19035	8157
700	19071	8134
701	19105	8110
702	19130	8082
703	19147	8050
704	19168	8021
705	19187	7990
706	19205	7959
707	19233	7932
708	19250	7901
709	19278	7874
710	19304	7846
711	19334	7820
712	19363	7794
713	19398	7770
714	19421	7741
715	19453	7716
716	19474	7686
717	19491	7655
718	19509	7624
719	19530	7595
720	19548	7564
721	19568	7534
722	19586	7504
723	19611	7476
724	19632	7446
725	19652	7417
726	19671	7386
727	19694	7358
728	19714	7328
729	19733	7298
730	19758	7270
731	19779	7241
732	19796	7210
733	19816	7181
734	19833	7150
735	19853	7121
736	19876	7092
737	19900	7065
738	19922	7036
739	19946	7008
740	19970	6980
741	19995	6952
742	20026	6926
743	20054	6900
744	20079	6872
745	20105	6845
746	20128	6817
