iter	RMSE
0	0.1390162523
1	0.1358694278
2	0.1328604144
3	0.1299685591
4	0.127175324
5	0.1244587024
6	0.1218502035
7	0.119378393
8	0.1170400306
9	0.1147083913
10	0.112431179
11	0.1103196492
12	0.108292462
13	0.1063468216
14	0.1044707923
15	0.1026427556
16	0.10083844
17	0.09910835625
18	0.09747908985
19	0.09592036124
20	0.09438137042
21	0.09291613909
22	0.09154625585
23	0.09030010563
24	0.08899538964
25	0.08746797905
26	0.08591433606
27	0.0844177024
28	0.08295199639
29	0.08155899043
30	0.08022901015
31	0.07892041398
32	0.07764335744
33	0.07650079243
34	0.07535667794
35	0.07426772864
36	0.07324638685
37	0.07219338437
38	0.07119885877
39	0.07025294701
40	0.06938888541
41	0.06849814477
42	0.067445184
43	0.06643652518
44	0.06547232873
45	0.06455302145
46	0.06366358766
47	0.06278132971
48	0.0619620784
49	0.06115802613
50	0.06040390589
51	0.05969011281
52	0.05902007503
53	0.05835939783
54	0.05773885857
55	0.05714194398
56	0.0565322181
57	0.05596064662
58	0.0554339486
59	0.05492650143
60	0.05442182249
61	0.05396001012
62	0.05348499233
63	0.0530587815
64	0.05263682991
65	0.05225683913
66	0.05186976728
67	0.05151659285
68	0.05114364378
69	0.05082625683
70	0.05051433353
71	0.05020877869
72	0.04990339904
73	0.04964029276
74	0.04935701837
75	0.04908577351
76	0.04882914646
77	0.04858056009
78	0.04834456291
79	0.04807482522
80	0.047791257
81	0.04755078525
82	0.04732791961
83	0.04709990288
84	0.04687010348
85	0.04664565375
86	0.04644781692
87	0.0462676071
88	0.04607481957
89	0.04586281196
90	0.04570898322
91	0.04553216019
92	0.04537560767
93	0.04524495765
94	0.0451114759
95	0.04497190133
96	0.04483419168
97	0.0447119766
98	0.04457492983
99	0.04443364667
100	0.04432901086
101	0.04423392074
102	0.04410349392
103	0.04400825504
104	0.04390757808
105	0.04379475695
106	0.04367763344
107	0.04360480696
108	0.04352895273
109	0.04346217255
110	0.04333839583
111	0.04326591624
112	0.04317527536
113	0.04309554295
114	0.04302045559
115	0.04294249184
116	0.04286578027
117	0.04277544567
118	0.04270081868
119	0.04263469297
120	0.04257492221
121	0.04250989753
122	0.04245383272
123	0.04238494765
124	0.04232086018
125	0.04226323727
126	0.04219366687
127	0.04212658513
128	0.04207630762
129	0.04202681226
